id,name,flag,vessel_type_id,imo,call_sign,bruttotons,length_overall,vessel_status_id,checked,in_zone
881,SETTE MARI,SW,2,7103538.0,SECT,352.0,40.0,3,True,False
882,Randi,EE,2,8911437.0,ESLN,324.0,32.0,1,True,True
883,CRONA (COMOROS),BZ,2,6909935.0,D6A2141,358.0,35.0,3,True,False
885,Vestland (SW),SW,2,6909985.0,SGCF,256.0,35.0,1,True,True
886,Laguna,AZ,2,6709971.0,Unknown,284.0,36.0,1,True,True
888,SVANVIK,SW,2,5050397.0,SGNM,221.0,32.0,3,True,True
889,VALÖSKÄR,SW,2,6519754.0,SHCG,217.0,32.0,3,True,False
890,Odeskar,SW,2,6725004.0,SIDC,307.0,39.0,3,True,True
891,Astrid (MA),MA,2,9163037.0,CNA5713,705.0,42.0,1,True,True
892,WESTERÖ,SW,2,6815639.0,SMZN,272.0,33.0,4,True,True
893,Ahlma-West,DK,2,8741416.0,OYNY,514.0,40.0,1,True,True
894,Mostein,NO,2,9644782.0,JXUM,807.0,43.85,1,True,True
895,Sunnanland,MA,2,9222041.0,CNA5647,749.0,45.0,1,True,False
896,Stella Nova IX,DK,2,9741164.0,OYQN,1023.0,50.0,1,True,True
897,Olga Ruby,DK,2,5000445.0,OZKS,498.0,50.0,3,True,False
898,Monsun (DK),DK,2,8522406.0,OZEL,735.0,49.0,1,True,True
901,Bristol,DK,2,9160322.0,OUBL,810.0,48.0,1,True,True
902,Ahlma (S),SW,2,9278129.0,SBXL,798.0,49.0,1,True,True
903,Neptun (DK),DK,2,8516213.0,OZGR,747.0,49.0,1,True,True
939,Fram,FO,2,8814287.0,XPUK,727.0,49.0,3,True,True
954,Research,GB,2,9825386.0,MCGB2,3862.0,80.0,1,True,True
958,Ocean Star FR 77,GB,2,9811189.0,MCYF5,4629.0,87.0,1,True,True
974,Wiron 1,NL,2,9117519.0,PEOE,1059.0,51.0,1,True,True
975,Cap Blanc,NL,2,8814665.0,PDVB,1230.0,56.0,1,True,True
